,day,time,open,high,low,close
137,20210401,14:54:00,965.0500000000001,965.0500000000001,964.78,964.91
138,20210401,14:51:00,965.15,965.15,964.86,964.97
139,20210401,14:48:00,965.0500000000001,965.08,964.9200000000001,965.08
140,20210401,14:45:00,964.95,965.0600000000001,964.91,965.04
141,20210401,14:42:00,964.53,964.94,964.5,964.94
142,20210401,14:39:00,964.27,964.5600000000001,964.27,964.5600000000001
143,20210401,14:36:00,964.4,964.41,964.1700000000001,964.24
144,20210401,14:33:00,964.46,964.5500000000001,964.36,964.36
145,20210401,14:30:00,964.53,964.64,964.45,964.45
146,20210401,14:27:00,964.5,964.6,964.37,964.6
147,20210401,14:24:00,964.57,964.78,964.5,964.5
148,20210401,14:21:00,964.59,964.6800000000001,964.54,964.57
149,20210401,14:18:00,964.33,964.6700000000001,964.33,964.59
150,20210401,14:15:00,964.5,964.5500000000001,964.33,964.35
151,20210401,14:12:00,964.61,964.69,964.49,964.5
152,20210401,14:09:00,964.07,964.65,963.95,964.61
153,20210401,14:06:00,964.15,964.19,964.02,964.0600000000001
154,20210401,14:03:00,963.9200000000001,964.22,963.9200000000001,964.14
155,20210401,14:00:00,963.59,963.89,963.54,963.87
156,20210401,13:57:00,963.48,963.62,963.4200000000001,963.59
157,20210401,13:54:00,963.37,963.53,963.3100000000001,963.53
158,20210401,13:51:00,963.44,963.46,963.3100000000001,963.4
159,20210401,13:48:00,964.0500000000001,964.0500000000001,963.47,963.49
160,20210401,13:45:00,964.21,964.38,964.07,964.12
161,20210401,13:42:00,964.1800000000001,964.37,964.1800000000001,964.28
162,20210401,13:39:00,964.39,964.39,964.1800000000001,964.21
163,20210401,13:36:00,964.52,964.57,964.36,964.4
164,20210401,13:33:00,964.45,964.5500000000001,964.37,964.52
165,20210401,13:30:00,964.0500000000001,964.47,964.0500000000001,964.44
166,20210401,13:27:00,964.11,964.1800000000001,964.02,964.0600000000001
167,20210401,13:24:00,964.19,964.19,964.09,964.19
168,20210401,13:21:00,964.0,964.23,964.0,964.1800000000001
169,20210401,13:18:00,963.75,964.01,963.6800000000001,963.98
170,20210401,13:15:00,963.23,963.78,963.22,963.76
171,20210401,13:12:00,963.35,963.47,963.1800000000001,963.23
172,20210401,13:09:00,963.82,963.9200000000001,963.35,963.35
173,20210401,13:06:00,963.9300000000001,964.0600000000001,963.76,963.8000000000001
174,20210401,13:03:00,964.08,964.2,963.84,963.9200000000001
175,20210401,13:00:00,964.23,964.38,964.04,964.07
176,20210401,12:57:00,963.69,964.1800000000001,963.69,964.1800000000001
177,20210401,12:54:00,963.61,963.6700000000001,963.48,963.6700000000001
178,20210401,12:51:00,963.52,963.64,963.44,963.58
179,20210401,12:48:00,963.1700000000001,963.44,963.0600000000001,963.44
180,20210401,12:45:00,963.13,963.24,963.13,963.24
181,20210401,12:42:00,963.1800000000001,963.27,963.09,963.1
182,20210401,12:39:00,963.08,963.47,963.08,963.2
183,20210401,12:36:00,963.34,963.34,963.11,963.12
184,20210401,12:33:00,963.23,963.36,963.21,963.34
185,20210401,12:30:00,962.5600000000001,963.25,962.4200000000001,963.25
186,20210401,12:27:00,962.51,962.74,962.47,962.59
187,20210401,12:24:00,962.3100000000001,962.65,962.27,962.44
188,20210401,12:21:00,962.24,962.4,962.24,962.28
189,20210401,12:18:00,961.35,962.27,961.33,962.27
190,20210401,12:15:00,961.29,961.39,961.23,961.39
191,20210401,12:12:00,962.04,962.08,961.28,961.28
192,20210401,12:09:00,961.96,962.12,961.94,962.1
193,20210401,12:06:00,962.04,962.04,961.9,962.01
194,20210401,12:03:00,962.02,962.09,961.95,962.09
195,20210401,12:00:00,961.96,962.07,961.83,962.03
196,20210401,11:57:00,961.87,961.97,961.82,961.96
197,20210401,11:54:00,961.87,961.98,961.83,961.89
198,20210401,11:51:00,962.65,962.69,961.73,961.9200000000001
199,20210401,11:48:00,963.1700000000001,963.26,962.74,962.74
200,20210401,11:45:00,963.4,963.4200000000001,963.1700000000001,963.2
201,20210401,11:42:00,963.32,963.37,963.21,963.35
202,20210401,11:39:00,963.49,963.5,963.3000000000001,963.35
203,20210401,11:36:00,963.65,963.71,963.47,963.47
204,20210401,11:33:00,963.66,963.8000000000001,963.6,963.71
205,20210401,11:30:00,963.5600000000001,963.73,963.47,963.71
206,20210401,11:27:00,963.62,963.75,963.62,963.63
207,20210401,11:24:00,963.07,963.74,963.07,963.66
208,20210401,11:21:00,962.65,962.96,962.65,962.96
209,20210401,11:18:00,962.49,962.65,962.23,962.65
210,20210401,11:15:00,961.89,962.5500000000001,961.88,962.51
211,20210401,11:12:00,961.74,961.9300000000001,961.62,961.9300000000001
212,20210401,11:09:00,961.45,961.8000000000001,961.4,961.8000000000001
213,20210401,11:06:00,961.5,961.5600000000001,961.37,961.4
214,20210401,11:03:00,961.41,961.61,961.3100000000001,961.61
215,20210401,11:00:00,960.64,961.4200000000001,960.52,961.41
216,20210401,10:57:00,960.38,960.63,960.38,960.5600000000001
217,20210401,10:54:00,959.86,960.37,959.83,960.32
218,20210401,10:51:00,959.76,959.88,959.66,959.86
219,20210401,10:48:00,959.73,959.94,959.73,959.8000000000001
220,20210401,10:45:00,959.75,959.8000000000001,959.65,959.75
221,20210401,10:42:00,959.77,959.8100000000001,959.72,959.78
222,20210401,10:39:00,959.74,959.85,959.6800000000001,959.77
223,20210401,10:36:00,959.84,960.03,959.76,959.78
224,20210401,10:33:00,960.07,960.07,959.73,959.85
225,20210401,10:30:00,959.74,960.13,959.74,960.13
226,20210401,10:27:00,959.49,959.72,959.41,959.72
227,20210401,10:24:00,959.25,959.5,959.21,959.4200000000001
228,20210401,10:21:00,959.07,959.33,958.96,959.33
229,20210401,10:18:00,958.94,959.13,958.94,959.09
230,20210401,10:15:00,958.91,959.07,958.82,958.97
231,20210401,10:12:00,958.6700000000001,958.96,958.6700000000001,958.88
232,20210401,10:09:00,958.5500000000001,958.61,958.45,958.6
233,20210401,10:06:00,959.21,959.21,958.49,958.49
