,day,time,open,high,low,close,amount,5,20,60,120
88,20210402,10:57:00,968.62,968.69,968.53,968.59,22910,20707.0,23249.35,23703.2,17117.016666666666
89,20210402,10:54:00,968.51,968.71,968.51,968.62,21808,19987.4,23361.8,23532.416666666668,16998.816666666666
90,20210402,10:51:00,968.58,968.62,968.37,968.51,19661,18794.0,23575.05,23394.383333333335,16906.058333333334
91,20210402,10:48:00,968.49,968.64,968.49,968.63,18648,18140.8,23579.05,23320.333333333332,16858.783333333333
92,20210402,10:45:00,968.5500000000001,968.63,968.34,968.6,20508,17635.2,23670.45,23243.7,16792.566666666666
93,20210402,10:42:00,968.79,968.86,968.63,968.64,19312,17861.8,23877.2,23133.133333333335,16722.291666666668
94,20210402,10:39:00,968.76,968.8000000000001,968.6800000000001,968.76,15841,18902.2,24222.95,23036.433333333334,16638.508333333335
95,20210402,10:36:00,968.5600000000001,968.77,968.5,968.77,16395,20777.0,24918.2,22970.2,16574.25
96,20210402,10:33:00,968.35,968.59,968.35,968.54,16120,23212.8,25554.7,22884.316666666666,16514.95
97,20210402,10:30:00,968.5,968.51,968.37,968.4,21641,25779.4,26115.4,22800.666666666668,16462.491666666665
98,20210402,10:27:00,968.48,968.49,968.37,968.44,24514,26876.0,26858.55,22582.25,16374.866666666667
99,20210402,10:24:00,968.63,968.7,968.37,968.51,25215,28175.4,26993.15,22380.066666666666,16262.158333333333
100,20210402,10:21:00,968.54,968.72,968.54,968.62,28574,29574.6,27365.65,22155.316666666666,16134.291666666666
101,20210402,10:18:00,968.58,968.6,968.24,968.6,28953,28180.6,27628.0,21912.05,15988.275
102,20210402,10:15:00,969.48,969.48,968.66,968.6800000000001,27124,26416.8,27789.65,21610.516666666666,15840.008333333333
103,20210402,10:12:00,969.96,970.03,969.6,969.6,31011,27552.6,28204.3,21359.566666666666,15714.183333333332
104,20210402,10:09:00,970.1700000000001,970.28,969.9300000000001,969.97,32211,26382.2,28446.25,21102.45,15552.416666666666
105,20210402,10:06:00,969.98,970.2,969.97,970.2,21604,25154.6,28889.25,20768.066666666666,15367.141666666666
106,20210402,10:03:00,969.9300000000001,970.08,969.87,969.98,20134,24782.0,29875.0,20606.866666666665,15276.516666666666
107,20210402,10:00:00,969.73,969.87,969.51,969.87,32803,24850.4,31179.1,20437.283333333333,15224.8
108,20210402,09:57:00,969.34,969.74,969.28,969.6800000000001,25159,23218.4,32919.95,20053.216666666667,15077.066666666668
109,20210402,09:54:00,969.4,969.47,969.19,969.35,26073,23432.0,34082.5,19809.333333333332,14993.625
110,20210402,09:51:00,969.12,969.4,969.07,969.36,19741,24166.6,33522.05,19542.516666666666,14892.716666666667
111,20210402,09:48:00,968.9,969.14,968.9,969.1,20476,26043.4,33299.2,19365.916666666668,14878.2
112,20210402,09:45:00,968.84,968.9200000000001,968.78,968.88,24643,27415.0,33031.7,19203.066666666666,14823.416666666666
113,20210402,09:42:00,968.86,968.86,968.65,968.86,26227,29787.2,32510.0,18972.833333333332,14767.466666666667
114,20210402,09:39:00,969.4,969.4,968.6700000000001,968.82,29746,29983.0,31791.3,18683.566666666666,14714.925
115,20210402,09:36:00,969.45,969.46,969.3000000000001,969.38,29125,30566.8,30962.35,18318.866666666665,14651.058333333332
116,20210402,09:33:00,968.9200000000001,969.46,968.59,969.46,27334,31506.0,30168.0,18003.383333333335,14627.75
117,20210402,09:30:00,969.79,969.79,968.95,968.95,36504,32476.4,29466.75,17715.283333333333,14574.083333333334
118,20210402,09:27:00,969.94,969.94,969.7,969.79,27206,32259.0,28302.5,17284.166666666668,14467.841666666667
119,20210402,09:24:00,969.83,970.01,969.73,969.9200000000001,32665,33987.8,27630.1,16992.05,14449.158333333333
120,20210402,09:21:00,969.79,970.1,969.79,969.88,33821,35669.0,26612.1,16581.683333333334,14405.166666666666
121,20210402,09:18:00,968.99,969.75,968.99,969.6700000000001,32186,37168.6,25637.65,16160.516666666666,14285.6
122,20210402,09:15:00,969.04,969.23,968.77,969.19,35417,39974.6,24724.4,15777.7,14210.65
123,20210402,09:12:00,969.76,969.83,969.13,969.21,35850,46415.2,23657.0,15345.25,14128.133333333333
124,20210402,09:09:00,970.79,970.8000000000001,969.97,969.97,41071,48927.2,22498.15,14887.883333333333,14049.466666666667
125,20210402,09:06:00,970.69,970.85,970.5500000000001,970.69,41319,43685.8,21065.65,14360.466666666667,13915.191666666668
126,20210402,09:03:00,969.8100000000001,970.86,969.8100000000001,970.72,46216,38478.8,19617.9,13836.033333333333,13809.908333333333
127,20210402,09:00:00,967.5600000000001,971.1700000000001,967.5600000000001,969.94,67620,32260.8,17826.2,13236.2,13693.633333333333
128,20210401,15:30:00,965.4300000000001,965.8100000000001,965.4300000000001,965.78,48410,21578.6,14940.3,12263.633333333333,13377.275
129,20210401,15:18:00,964.96,965.4300000000001,964.82,965.4300000000001,14864,14267.2,13152.95,11633.116666666667,13292.975
130,20210401,15:15:00,964.57,964.91,964.57,964.84,15284,13927.8,13086.05,11535.65,13513.4
131,20210401,15:12:00,964.46,964.7,964.46,964.59,15126,13518.6,13082.75,11422.55,13683.6
132,20210401,15:09:00,964.58,964.65,964.37,964.4,14209,13155.2,13028.95,11327.233333333334,13921.408333333333
133,20210401,15:06:00,964.77,964.84,964.58,964.61,11853,12957.2,13012.2,11221.65,14209.433333333332
134,20210401,15:03:00,964.6800000000001,964.8100000000001,964.6800000000001,964.74,13167,13338.2,13095.05,11169.433333333332,14636.908333333333
135,20210401,15:00:00,964.88,964.96,964.76,964.77,13238,13165.8,13030.05,11082.383333333333,15002.758333333333
136,20210401,14:57:00,964.91,965.02,964.73,964.91,13309,13384.6,12930.25,11005.9,15511.816666666668
137,20210401,14:54:00,965.0500000000001,965.0500000000001,964.78,964.91,13219,13507.0,12819.85,10952.966666666667,15840.441666666668
138,20210401,14:51:00,965.15,965.15,964.86,964.97,13758,13677.0,12585.7,10912.25,15856.408333333333
139,20210401,14:48:00,965.0500000000001,965.08,964.9200000000001,965.08,12305,13460.0,12516.95,10845.666666666666,15874.208333333334
140,20210401,14:45:00,964.95,965.0600000000001,964.91,965.04,14332,13483.2,12488.2,10781.9,15881.408333333333
141,20210401,14:42:00,964.53,964.94,964.5,964.94,13921,13089.6,12470.5,10742.9,15877.316666666668
142,20210401,14:39:00,964.27,964.5600000000001,964.27,964.5600000000001,14069,12381.8,12317.5,10691.15,15871.208333333334
143,20210401,14:36:00,964.4,964.41,964.1700000000001,964.24,12673,11548.4,12217.4,10636.266666666666,15861.916666666666
144,20210401,14:33:00,964.46,964.5500000000001,964.36,964.36,12421,11546.4,12362.95,10614.9,15850.933333333332
145,20210401,14:30:00,964.53,964.64,964.45,964.45,12364,11767.4,12349.3,10594.516666666666,15850.016666666666
146,20210401,14:27:00,964.5,964.6,964.37,964.6,10382,12338.2,12327.7,10573.4,15868.775
147,20210401,14:24:00,964.57,964.78,964.5,964.5,9902,13071.8,12306.55,10551.133333333333,15891.816666666668
148,20210401,14:21:00,964.59,964.6800000000001,964.54,964.57,12663,13866.2,12299.4,10530.833333333334,15894.433333333332
149,20210401,14:18:00,964.33,964.6700000000001,964.33,964.59,13526,14035.6,12192.55,10465.216666666667,15870.641666666666
150,20210401,14:15:00,964.5,964.5500000000001,964.33,964.35,15218,13703.8,12019.45,10417.733333333334,15858.916666666666
151,20210401,14:12:00,964.61,964.69,964.49,964.5,14050,12908.6,11715.8,10397.233333333334,15843.108333333334
152,20210401,14:09:00,964.07,964.65,963.95,964.61,13874,12318.8,11548.55,10341.433333333332,15838.05
153,20210401,14:06:00,964.15,964.19,964.02,964.0600000000001,13510,11251.2,11396.3,10311.45,15822.275
154,20210401,14:03:00,963.9200000000001,964.22,963.9200000000001,964.14,11867,11025.8,11164.35,10240.583333333334,15816.683333333332
155,20210401,14:00:00,963.59,963.89,963.54,963.87,11242,10998.4,10964.2,10178.3,15798.883333333333
156,20210401,13:57:00,963.48,963.62,963.4200000000001,963.59,11101,11545.6,10911.9,10145.583333333334,15793.075
157,20210401,13:54:00,963.37,963.53,963.3100000000001,963.53,8536,11497.6,10859.25,10124.316666666668,15803.958333333334
158,20210401,13:51:00,963.44,963.46,963.3100000000001,963.4,12383,12203.8,10964.3,10167.483333333334,15829.225
