,day,open,high,low,close
63,20201229,"2,810.55","2,823.44","2,792.06","2,820.51"
64,20201228,"2,820.95","2,834.59","2,799.56","2,808.60"
65,20201224,"2,762.60","2,812.16","2,762.60","2,806.86"
66,20201223,"2,737.74","2,769.08","2,716.28","2,759.82"
67,20201222,"2,772.03","2,774.22","2,733.64","2,733.68"
68,20201221,"2,771.98","2,780.24","2,747.09","2,778.65"
69,20201218,"2,770.95","2,782.15","2,762.80","2,772.18"
70,20201217,"2,769.89","2,772.71","2,742.25","2,770.43"
71,20201216,"2,763.64","2,781.08","2,761.50","2,771.79"
72,20201215,"2,763.65","2,769.37","2,735.08","2,756.82"
73,20201214,"2,769.43","2,782.79","2,755.29","2,762.20"
74,20201211,"2,754.16","2,781.04","2,754.16","2,770.06"
75,20201210,"2,750.34","2,765.46","2,718.70","2,746.46"
76,20201209,"2,703.30","2,755.47","2,703.30","2,755.47"
77,20201208,"2,745.13","2,747.45","2,700.92","2,700.93"
78,20201207,"2,738.11","2,754.01","2,711.42","2,745.44"
79,20201204,"2,705.34","2,742.77","2,705.34","2,731.45"
80,20201203,"2,686.38","2,696.22","2,672.85","2,696.22"
81,20201202,"2,645.88","2,677.26","2,644.53","2,675.90"
82,20201201,"2,613.42","2,638.87","2,611.67","2,634.25"
83,20201130,"2,648.05","2,648.66","2,591.34","2,591.34"
84,20201127,"2,624.80","2,635.00","2,618.47","2,633.45"
85,20201126,"2,605.73","2,625.97","2,592.43","2,625.91"
86,20201125,"2,637.34","2,642.26","2,583.41","2,601.54"
87,20201124,"2,616.28","2,628.52","2,605.03","2,617.76"
88,20201123,"2,560.04","2,605.58","2,553.70","2,602.59"
89,20201120,"2,544.06","2,558.21","2,539.79","2,553.50"
90,20201119,"2,536.89","2,548.95","2,529.53","2,547.42"
91,20201118,"2,548.85","2,553.95","2,536.78","2,545.64"
92,20201117,"2,544.12","2,556.09","2,533.34","2,539.15"
93,20201116,"2,507.46","2,546.37","2,507.46","2,543.03"
94,20201113,"2,470.12","2,495.77","2,460.96","2,493.87"
95,20201112,"2,482.68","2,488.79","2,467.04","2,475.62"
96,20201111,"2,459.50","2,488.04","2,459.50","2,485.87"
97,20201110,"2,453.95","2,457.94","2,435.59","2,452.83"
98,20201109,"2,438.63","2,459.15","2,434.52","2,447.20"
99,20201106,"2,421.79","2,431.11","2,404.97","2,416.50"
100,20201105,"2,373.41","2,413.79","2,370.85","2,413.79"
101,20201104,"2,361.32","2,371.14","2,339.95","2,357.32"
102,20201103,"2,315.81","2,344.77","2,315.30","2,343.31"
103,20201102,"2,276.61","2,302.64","2,267.95","2,300.16"
104,20201030,"2,319.56","2,320.20","2,266.93","2,267.15"
105,20201029,"2,312.34","2,330.17","2,299.91","2,326.67"
106,20201028,"2,324.18","2,345.46","2,316.47","2,345.26"
107,20201027,"2,328.66","2,349.33","2,321.23","2,330.84"
108,20201026,"2,366.50","2,374.50","2,342.58","2,343.91"
109,20201023,"2,364.84","2,368.57","2,344.49","2,360.81"
110,20201022,"2,355.61","2,360.22","2,339.73","2,355.05"
111,20201021,"2,363.03","2,371.74","2,356.32","2,370.86"
112,20201020,"2,333.56","2,358.41","2,322.06","2,358.41"
113,20201019,"2,352.92","2,364.25","2,344.77","2,346.74"
114,20201016,"2,363.88","2,370.73","2,325.03","2,341.53"
115,20201015,"2,375.91","2,376.73","2,348.74","2,361.21"
116,20201014,"2,403.74","2,405.56","2,375.54","2,380.48"
117,20201013,"2,416.85","2,418.89","2,385.87","2,403.15"
118,20201012,"2,404.18","2,409.42","2,393.74","2,403.73"
119,20201008,"2,408.49","2,409.01","2,383.82","2,391.96"
120,20201007,"2,350.82","2,387.45","2,347.82","2,386.94"
121,20201006,"2,369.17","2,378.28","2,355.39","2,365.90"
122,20201005,"2,330.55","2,364.73","2,327.83","2,358.00"
123,20200929,"2,331.51","2,339.83","2,320.04","2,327.89"
124,20200928,"2,301.16","2,314.81","2,291.32","2,308.08"
125,20200925,"2,295.19","2,296.36","2,267.63","2,278.79"
126,20200924,"2,295.62","2,309.74","2,268.88","2,272.70"
127,20200923,"2,352.56","2,354.46","2,287.44","2,333.24"
128,20200922,"2,388.14","2,388.49","2,323.58","2,332.59"
129,20200921,"2,412.44","2,427.17","2,379.38","2,389.39"
130,20200918,"2,413.53","2,417.81","2,396.33","2,412.40"
131,20200917,"2,430.77","2,437.02","2,398.69","2,406.17"
132,20200916,"2,442.72","2,450.53","2,429.94","2,435.92"
133,20200915,"2,434.59","2,444.57","2,423.79","2,443.58"
134,20200914,"2,418.33","2,429.07","2,410.79","2,427.91"
135,20200911,"2,389.76","2,397.56","2,374.00","2,396.69"
136,20200910,"2,404.83","2,406.68","2,388.56","2,396.48"
137,20200909,"2,372.53","2,388.85","2,369.12","2,375.81"
138,20200908,"2,402.66","2,407.56","2,391.43","2,401.91"
139,20200907,"2,369.85","2,387.49","2,362.42","2,384.22"
140,20200904,"2,332.68","2,371.02","2,332.68","2,368.25"
141,20200903,"2,383.26","2,401.78","2,382.23","2,395.90"
142,20200902,"2,363.43","2,369.57","2,341.29","2,364.37"
143,20200901,"2,340.19","2,355.90","2,331.23","2,349.55"
144,20200831,"2,377.09","2,381.50","2,326.06","2,326.17"
145,20200828,"2,362.22","2,379.26","2,345.28","2,353.80"
146,20200827,"2,371.95","2,373.36","2,344.38","2,344.45"
147,20200826,"2,367.74","2,374.68","2,336.98","2,369.32"
148,20200825,"2,352.15","2,369.78","2,340.97","2,366.73"
149,20200824,"2,309.38","2,332.33","2,283.48","2,329.83"
150,20200821,"2,306.16","2,329.34","2,280.97","2,304.59"
151,20200820,"2,339.91","2,357.08","2,270.85","2,274.22"
152,20200819,"2,370.87","2,380.10","2,353.17","2,360.54"
153,20200818,"2,405.84","2,419.65","2,336.78","2,348.24"
154,20200814,"2,427.85","2,435.00","2,383.69","2,407.49"
155,20200813,"2,455.28","2,458.17","2,412.49","2,437.53"
156,20200812,"2,414.78","2,432.35","2,393.27","2,432.35"
157,20200811,"2,396.11","2,429.36","2,396.11","2,418.67"
158,20200810,"2,353.92","2,390.51","2,349.33","2,386.38"
159,20200807,"2,349.25","2,362.24","2,333.62","2,351.67"
160,20200806,"2,322.64","2,352.48","2,322.64","2,342.61"
161,20200805,"2,289.23","2,312.14","2,283.95","2,311.86"
162,20200804,"2,272.33","2,284.66","2,269.69","2,279.97"
163,20200803,"2,251.65","2,254.38","2,237.04","2,251.04"
164,20200731,"2,278.53","2,281.41","2,248.49","2,249.37"
165,20200730,"2,275.33","2,281.33","2,263.81","2,267.01"
166,20200729,"2,258.35","2,276.79","2,252.24","2,263.16"
167,20200728,"2,238.19","2,266.00","2,237.21","2,256.99"
168,20200727,"2,203.48","2,231.25","2,203.48","2,217.86"
169,20200724,"2,196.73","2,219.57","2,195.49","2,200.44"
170,20200723,"2,227.24","2,227.24","2,202.99","2,216.19"
171,20200722,"2,228.20","2,238.86","2,221.62","2,228.66"
172,20200721,"2,219.19","2,234.86","2,214.28","2,228.83"
173,20200720,"2,209.59","2,209.59","2,183.83","2,198.20"
174,20200717,"2,187.85","2,204.20","2,187.85","2,201.19"
175,20200716,"2,203.30","2,207.34","2,177.82","2,183.76"
176,20200715,"2,208.73","2,216.97","2,190.66","2,201.88"
177,20200714,"2,176.43","2,183.61","2,165.60","2,183.61"
178,20200713,"2,170.51","2,188.80","2,163.07","2,186.06"
179,20200710,"2,171.44","2,171.52","2,140.29","2,150.25"
180,20200709,"2,171.15","2,181.48","2,166.74","2,167.90"
181,20200708,"2,166.76","2,173.83","2,150.89","2,158.88"
182,20200707,"2,202.04","2,206.79","2,164.03","2,164.17"
183,20200706,"2,158.95","2,191.28","2,157.71","2,187.93"
184,20200703,"2,147.89","2,153.54","2,135.30","2,152.41"
185,20200702,"2,116.72","2,135.37","2,113.98","2,135.37"
186,20200701,"2,128.81","2,133.55","2,101.33","2,106.70"
187,20200630,"2,124.38","2,134.38","2,108.26","2,108.33"
188,20200629,"2,105.54","2,120.50","2,087.84","2,093.48"
189,20200626,"2,137.47","2,142.04","2,115.25","2,134.65"
190,20200625,"2,130.45","2,143.33","2,112.37","2,112.37"
191,20200624,"2,145.93","2,171.86","2,143.91","2,161.51"
192,20200623,"2,149.13","2,158.15","2,110.51","2,131.24"
193,20200622,"2,126.38","2,142.88","2,122.10","2,126.73"
194,20200619,"2,153.09","2,153.57","2,108.91","2,141.32"
195,20200618,"2,134.35","2,145.13","2,120.29","2,133.48"
196,20200617,"2,133.18","2,154.37","2,105.26","2,141.05"
197,20200616,"2,091.09","2,138.08","2,079.02","2,138.05"
198,20200615,"2,114.41","2,129.67","2,030.82","2,030.82"
199,20200612,"2,088.24","2,137.12","2,084.63","2,132.30"
200,20200611,"2,184.36","2,200.72","2,148.51","2,176.78"
201,20200610,"2,187.91","2,200.68","2,178.12","2,195.69"
202,20200609,"2,206.23","2,212.17","2,166.01","2,188.92"
203,20200608,"2,215.60","2,217.21","2,174.96","2,184.29"
204,20200605,"2,151.17","2,187.25","2,138.18","2,181.87"
205,20200604,"2,181.64","2,191.00","2,139.68","2,151.18"
206,20200603,"2,108.55","2,156.55","2,107.69","2,147.00"
207,20200602,"2,061.45","2,089.43","2,059.14","2,087.19"
208,20200601,"2,037.04","2,065.38","2,035.63","2,065.08"
209,20200529,"2,018.37","2,038.89","2,006.62","2,029.60"
210,20200528,"2,047.08","2,054.52","2,003.75","2,028.54"
211,20200527,"2,027.90","2,043.44","2,019.82","2,031.20"
212,20200526,"2,001.00","2,029.89","1,997.94","2,029.78"
213,20200525,"1,980.51","1,994.90","1,967.84","1,994.60"
214,20200522,"2,001.60","2,002.65","1,961.40","1,970.13"
215,20200521,"2,003.20","2,004.95","1,993.00","1,998.31"
216,20200520,"1,972.12","1,992.20","1,972.12","1,989.64"
217,20200519,"1,977.47","1,983.77","1,968.59","1,980.61"
218,20200518,"1,934.51","1,943.07","1,921.14","1,937.11"
219,20200515,"1,937.63","1,938.59","1,913.21","1,927.28"
220,20200514,"1,922.44","1,931.43","1,913.49","1,924.96"
221,20200513,"1,897.50","1,940.42","1,897.24","1,940.42"
222,20200512,"1,938.62","1,938.62","1,905.17","1,922.17"
223,20200511,"1,953.51","1,960.46","1,932.87","1,935.40"
224,20200508,"1,944.94","1,956.89","1,942.54","1,945.82"
225,20200507,"1,922.00","1,938.50","1,918.57","1,928.61"
226,20200506,"1,919.45","1,928.76","1,902.55","1,928.76"
227,20200504,"1,906.42","1,918.66","1,894.29","1,895.37"
228,20200429,"1,936.89","1,957.51","1,934.31","1,947.56"
229,20200428,"1,931.25","1,941.79","1,911.63","1,934.09"
230,20200427,"1,897.06","1,929.82","1,894.62","1,922.77"
231,20200424,"1,906.07","1,908.29","1,880.71","1,889.01"
232,20200423,"1,907.45","1,923.53","1,895.98","1,914.73"
233,20200422,"1,855.51","1,897.90","1,844.85","1,896.15"
234,20200421,"1,886.78","1,898.32","1,841.66","1,879.38"
235,20200420,"1,908.34","1,925.25","1,893.17","1,898.36"
236,20200417,"1,893.31","1,926.02","1,893.19","1,914.53"
