,day,time,open,high,low,close
0,20210402,15:30:00,3113.64,3113.64,3112.8,3112.8
1,20210402,15:18:00,3110.78,3113.64,3110.78,3113.64
2,20210402,15:15:00,3111.83,3111.83,3110.15,3111.39
3,20210402,15:12:00,3110.9,3111.98,3109.66,3109.66
4,20210402,15:09:00,3109.79,3112.14,3109.2400000000002,3111.14
5,20210402,15:06:00,3110.67,3111.86,3110.06,3110.2400000000002
6,20210402,15:03:00,3111.04,3112.4,3109.87,3112.2200000000003
7,20210402,15:00:00,3110.9500000000003,3112.65,3110.9500000000003,3111.38
8,20210402,14:57:00,3110.5,3112.23,3110.29,3111.84
9,20210402,14:54:00,3110.02,3112.76,3110.02,3111.17
10,20210402,14:51:00,3109.4300000000003,3111.27,3109.14,3109.71
11,20210402,14:48:00,3110.87,3111.15,3108.91,3109.4900000000002
12,20210402,14:45:00,3109.56,3110.87,3108.63,3109.86
13,20210402,14:42:00,3108.94,3110.25,3107.89,3109.87
14,20210402,14:39:00,3109.16,3109.29,3107.16,3108.09
15,20210402,14:36:00,3108.57,3109.7000000000003,3108.15,3109.52
16,20210402,14:33:00,3110.28,3110.28,3108.13,3109.21
17,20210402,14:30:00,3109.67,3110.16,3108.1800000000003,3108.85
18,20210402,14:27:00,3107.61,3110.0,3106.59,3109.6800000000003
19,20210402,14:24:00,3106.92,3107.73,3105.27,3106.92
20,20210402,14:21:00,3107.4,3107.63,3105.83,3107.16
21,20210402,14:18:00,3106.58,3107.59,3105.75,3106.94
22,20210402,14:15:00,3107.65,3109.1,3106.71,3107.27
23,20210402,14:12:00,3106.91,3107.31,3104.63,3107.06
24,20210402,14:09:00,3107.77,3107.98,3105.51,3106.2400000000002
25,20210402,14:06:00,3106.6800000000003,3107.79,3105.2000000000003,3107.79
26,20210402,14:03:00,3107.19,3108.79,3105.31,3105.31
27,20210402,14:00:00,3106.32,3107.94,3105.39,3106.9700000000003
