,day,open,high,low,close
220,20200514,687.92,693.68,684.33,690.57
221,20200513,676.53,691.57,676.24,691.53
222,20200512,687.48,688.37,673.66,684.21
223,20200511,686.81,690.34,676.6,685.04
224,20200508,674.01,682.94,673.52,682.3
225,20200507,659.45,669.03,658.93,668.17
226,20200506,650.15,658.4,647.52,658.4
227,20200504,637,648.57,635.16,641.91
228,20200429,646.33,648.42,644.06,645.18
229,20200428,649.46,651.39,638.69,644.93
230,20200427,638.9,647.11,638.58,646.86
231,20200424,640.19,645.22,629.12,632.96
232,20200423,640.13,645.54,637.33,643.79
233,20200422,618.95,635.31,616.88,635.16
234,20200421,634.76,641.07,602.05,628.77
235,20200420,635.71,643.05,634.2,637.82
236,20200417,631.34,634.79,628.05,634.79
237,20200416,606.69,623.59,603.15,623.43
238,20200414,605.14,611.36,602.05,610.29
239,20200413,609.94,611.06,596.71,596.71
240,20200410,617.75,618.08,593.01,611.26
241,20200409,616.67,618.37,610.66,615.95
242,20200408,604.46,615.32,599.3,607.37
243,20200407,606.21,606.9,593.22,606.9
244,20200406,579.25,597.21,577.83,597.21
245,20200403,571.29,576.27,564.02,573.01
246,20200402,555.4,567.7,542.75,567.7
247,20200401,568.88,579.76,551.3,551.84
248,20200331,551.48,569.07,551.25,569.07
249,20200330,513.13,542.12,511.47,542.11
250,20200327,535.94,540.04,502.48,522.83
251,20200326,506.51,533.33,501.82,516.61
252,20200325,496.32,506.43,488.98,505.68
253,20200324,457.21,480.4,454.24,480.4
254,20200323,443.51,455.97,435.81,443.76
255,20200320,443.88,467.75,435.11,467.75
256,20200319,501.59,502.12,419.55,428.35
257,20200318,520.79,526.1,485.14,485.14
258,20200317,488.02,518.72,483.51,514.73
259,20200316,538.68,541.87,504.51,504.51
260,20200313,536.62,540.3,487.07,524.0
261,20200312,589.2,594.32,555.47,563.49
262,20200311,621.12,622.07,591.38,595.61
263,20200310,606.89,619.98,604.51,619.97
264,20200309,631.13,632.52,614.58,614.6
265,20200306,642.33,647.83,637.2,642.72
266,20200305,647.75,650.81,643.97,650.19
267,20200304,623.75,641.73,623.55,641.73
268,20200303,641.65,641.77,626.71,626.82
269,20200302,617.88,627.71,607.32,627.66
270,20200228,626.36,631.25,608.38,610.73
271,20200227,654.61,660.89,634.79,638.17
272,20200226,644.02,658.29,642.98,654.63
273,20200225,639.28,656.96,633.65,656.95
274,20200224,653.4,656.31,639.22,639.29
275,20200221,673.57,680.28,667.47,667.99
276,20200220,687.65,688.51,677.99,681.66
277,20200219,686.89,688.11,673.64,684.78
278,20200218,691.42,692.52,681.44,682.92
279,20200217,690.35,692.64,686.73,692.59
280,20200214,687.23,692,685.67,688.91
281,20200213,689.54,691.43,681.77,687.61
282,20200212,683.26,686.79,680.26,686.59
283,20200211,678.97,682.34,678.43,682.34
284,20200210,669.53,676.08,668.1,676.07
285,20200207,673.11,674.03,667.93,672.63
286,20200206,665.94,672.69,665.88,672.69
287,20200205,666.74,668.91,658.03,661.32
288,20200204,650.72,661.24,649.22,661.24
289,20200203,631.82,648.34,627.65,646.85
290,20200131,660.98,664.77,641.57,642.48
291,20200130,670.65,673.17,652.42,656.39
292,20200129,671.08,671.98,664.09,670.18
293,20200128,660.79,668.22,658.78,664.7
294,20200123,685.94,687.71,683.52,685.57
295,20200122,677.05,688.28,677.05,688.25
296,20200121,683.82,685.89,675.48,676.52
297,20200120,690.85,691.17,682.48,683.47
298,20200117,689.73,690.61,686.68,688.41
